mean_speed,max_acceleration,course_changes,modal
0.834039,0.777818,0,bus
1.514327,1.909265,0,bus
1.767004,1.321735,0,bus
1.234608,0.783958,4,bus
1.084461,0.39861,6,bus
4.149294,2.686729,4,bus
8.626717,2.987539,3,bus
6.279897,1.336759,10,bus
2.55434,1.666586,16,bus
3.352799,2.141,8,bus
1.335651,0.525684,5,bus
2.914888,3.093437,4,bus
1.069483,0.97162,0,bus
3.652606,1.760849,8,bus
6.818763,3.22971,16,bus
3.980976,2.784571,22,bus
4.097697,2.387601,8,bus
1.574083,1.115768,2,bus
3.604341,1.467853,6,bus
1.954849,2.190708,4,bus
3.307855,3.860764,9,bus
1.644419,2.434532,0,bus
2.803314,2.046189,6,bus
2.956589,2.190903,6,bus
3.777923,2.475138,4,bus
3.717066,3.587104,10,bus
5.057935,1.557745,7,bus
4.658731,2.585697,6,bus
8.015018,1.844333,4,bus
5.443559,2.478812,2,bus
2.579669,2.079271,2,bus
0.819383,2.225815,1,bus
1.132961,0.197673,10,bus
5.139721,2.781034,14,moto
11.027312,2.502437,8,moto
8.825272,2.325473,10,moto
6.56263,2.300322,7,moto
6.644329,3.025483,5,moto
2.132751,2.370592,16,moto
4.42455,3.643223,12,moto
2.649388,2.8107,8,moto
11.035162,3.073073,15,moto
13.755756,2.363991,23,moto
10.523112,2.911979,6,moto
9.427075,3.939826,14,moto
6.774655,3.115377,11,moto
5.115745,2.249397,0,moto
5.984551,2.867167,3,moto
1.682422,1.821721,3,moto
0.140852,0.232771,0,moto
0.213178,0.475226,0,moto
0.17363,0.271588,0,moto
5.788932,3.28649,3,moto
4.814169,5.331242,4,moto
7.453603,3.090814,12,moto
6.570638,3.120279,9,moto
6.744904,1.573436,6,moto
6.974955,3.28003,7,moto
3.509724,2.4369,12,moto
1.010166,0.801383,9,moto
0.691519,1.694462,7,moto
0.941369,0.641145,35,moto
1.130353,0.354241,41,moto
1.065654,0.009123,56,moto
0.292715,0.247102,10,moto
0.696527,1.351843,1,moto
0.017394,0.663324,0,moto
4.112264,2.059906,22,moto
7.371346,2.686579,5,moto
10.198012,2.789773,19,moto
8.652207,1.968741,3,moto
4.344482,2.973538,1,moto
2.364623,3.401775,2,moto
5.43488,4.168038,3,moto
8.308902,3.857666,14,moto
4.695637,2.6833,6,moto
8.788886,2.046333,11,moto
2.885937,3.424367,3,moto
2.243208,2.555602,7,moto
1.030998,0.863242,20,moto
6.831136,4.069192,22,moto
7.732301,2.704566,3,moto
10.216087,4.516482,2,moto
8.050842,2.615605,8,moto
6.153331,7.036108,4,moto
9.600365,1.566024,0,moto
5.201602,3.232669,0,moto
11.016624,2.490681,15,moto
12.223711,1.900951,19,moto
11.965456,5.369343,15,moto
13.723349,1.874843,9,moto
11.289031,1.837505,11,moto
3.463091,2.297288,2,moto
2.973882,1.698595,9,moto
1.727333,1.449027,8,moto
5.087808,2.629066,6,moto
15.805318,0.79383,15,moto
19.983482,0.508855,18,moto
13.48229,4.618391,21,moto
12.469743,1.093643,12,moto
5.362859,4.905168,2,moto
5.701195,7.047444,1,moto
4.038348,1.195337,1,moto
2.551917,2.302231,1,moto
2.640803,1.263572,5,moto
4.734457,1.91606,9,moto
9.415854,2.899255,3,moto
7.372339,3.940433,8,moto
9.332845,2.228321,14,moto
10.479395,2.338303,9,moto
8.817794,2.112878,57,moto
10.567623,3.022661,46,moto
8.817182,2.223152,58,moto
